order_id,user_id,order_time,product_id,quantity
1,874,2024-09-20 15:20:49,158,1
2,422,2024-01-31 10:39:13,351,1
3,634,2024-05-27 08:49:25,166,2
4,647,2025-10-10 18:20:33,313,5
5,2439,2024-09-14 20:17:14,214,3
6,1934,2024-12-01 11:19:21,156,2
7,1292,2024-11-20 10:36:25,231,2
8,24,2024-02-03 22:03:26,391,1
9,574,2025-12-01 20:01:52,234,2
10,855,2024-08-19 19:18:53,339,1
11,1319,2025-05-17 20:20:35,219,1
12,817,2025-01-07 18:28:54,111,1
13,305,2025-08-15 08:46:30,125,3
14,2429,2025-08-19 22:02:49,241,2
15,1995,2024-07-07 10:38:37,128,1
16,416,2025-01-23 18:17:34,29,1
17,1165,2024-05-04 14:56:47,57,1
18,1695,2025-04-11 21:37:19,78,1
19,2302,2024-09-17 13:20:36,46,1
20,1068,2025-04-11 16:18:44,286,1
21,279,2025-08-19 19:20:54,359,1
22,1827,2025-01-03 21:11:20,383,1
23,1888,2024-09-25 10:43:45,186,1
24,2473,2025-10-09 22:08:07,383,2
25,1751,2025-01-03 20:51:03,203,2
26,247,2024-09-08 12:36:27,263,5
27,2066,2025-09-11 20:31:18,168,1
28,275,2024-12-13 06:05:35,377,2
29,2179,2024-12-10 20:54:54,82,1
30,1919,2025-03-07 18:12:48,313,1
31,1766,2024-12-24 13:56:56,142,5
32,624,2024-04-09 10:11:41,334,1
33,1860,2024-04-28 20:47:52,271,3
34,88,2024-02-25 17:00:39,206,2
35,78,2025-04-04 09:27:09,5,1
36,913,2024-05-31 19:20:34,300,1
37,821,2024-05-13 20:59:22,395,3
38,2363,2024-09-15 09:09:13,79,1
39,414,2025-05-27 16:54:02,14,2
40,2213,2024-03-25 22:20:55,179,1
41,943,2024-06-13 08:19:10,337,1
42,1111,2025-08-02 22:13:49,120,1
43,563,2025-05-29 07:24:01,226,1
44,855,2024-12-09 05:28:25,195,1
45,1559,2024-12-07 20:05:11,303,1
46,2369,2024-05-30 15:10:48,371,1
47,2004,2024-04-25 17:47:20,380,1
48,862,2025-08-18 20:23:30,47,1
49,459,2024-01-17 01:24:51,234,1
50,410,2024-01-31 11:19:53,182,1
51,1232,2025-02-13 23:05:41,118,2
52,1597,2024-04-25 01:17:46,242,2
53,1325,2025-03-25 08:15:11,24,1
54,525,2024-01-28 08:44:30,266,2
55,251,2025-02-12 20:55:47,306,2
